SOURCE,FROM_LINK,TO_LINK,SOURCE,FROM_PAGENO,TO_PAGENO
1849-50,http://link.nypl.org/2y69J5-5QgOdl33VIm7q8Q0,http://link.nypl.org/gw2za_iBRBq8coh056EUPQv,,,
1849-50,http://link.nypl.org/XET4k2qpRtuTtUMtC_515A1,http://link.nypl.org/q_JpHb1XTrmM6HC0xRMx4AG,,,
1849-50,http://link.nypl.org/aLkuG2thTXuM3MYwTxxJ4wL,http://link.nypl.org/Uw8CrMpgQ0qofKZOOQO8Sg6,,,
1849-50,http://link.nypl.org/3Jab8x9WQnKaraO1ukDnygu,http://link.nypl.org/mCJq8UnzQEa8eeEqi9gdIAp,,,
1849-50,http://link.nypl.org/rMI0fecDSBW4bT7hLuhDxg0,http://link.nypl.org/GMhC-CkMRsGy2FTHZVb0OwT,,,
1850-51,http://link.nypl.org/lbOn3RV_Q8ao5uDxg9PNiwk,http://link.nypl.org/yfFajz9RTomv_1F9gFzMRQ1,,,
1850-51,http://link.nypl.org/EL4H9ZK_TXaBn8mnm9M_Ygx,http://link.nypl.org/KrTYtiqET4yAUGKFItnM7wQ,,,
1850-51,http://link.nypl.org/v4z9ciN6QdaIT5y5fC-nggf,http://link.nypl.org/Of1EWKi1Sc-TLOQ9Y-5UaQw,,,
1850-51,http://link.nypl.org/doVkWtZkReafMWmnTGplCg5,http://link.nypl.org/BZGOAF_tT8S84PMhhFLi-Qy,,,
1851-52,http://link.nypl.org/nN5poOM3TQSR7B-HQFuVdA1,http://link.nypl.org/CXqEjpDVSNqRUi8lKCSCOwQ,,,
1851-52,http://link.nypl.org/wTdIvvNsQ4mlpjxEbpc4vAE,http://link.nypl.org/moEmJ8dRT1Cay3lqk8oLXA2,,,
1851-52,http://link.nypl.org/yRzrwJgjSY-LJm1m8ps4UgK,http://link.nypl.org/uiXqcthNTLOwfsyQmtobzA7,,,
1851-52,http://link.nypl.org/DaF39Sx7QoerFRL7TEnD_AG,http://link.nypl.org/xMwGRV1-T36DoFWtROxKXAg,,,
1851-52,http://link.nypl.org/xBcMULp2TNWoBha1ajEk6Q0,http://link.nypl.org/At3Spt-TTRqZC_7YKaMw9A9,,,
1851-52,http://link.nypl.org/zGbVrxWqQwm9JpsXVk2pFQv,http://link.nypl.org/TbjiWHX_SL6yw40fTiCHMAH,,,
1878-79,http://link.nypl.org/Ba7XfbY3SL-5W1Syr8XsAQB,http://link.nypl.org/4D5hq-jzTnaK4-4Ra5XYFgc,,,
1878-79,http://link.nypl.org/9YHxH0kMRHy2pkbNgjfKJA1,http://link.nypl.org/C55TFnGXTiaMJ3H7dtdTPAa,,,
1878-79,http://link.nypl.org/3n16vlk9QV26CRuZ8Q5G3wV,http://link.nypl.org/ewLGh2wmTB6lnfSc_oJPXAI,,,
1878-79,http://link.nypl.org/ljPICWqqRymeqJgxXKEb7gQ,http://link.nypl.org/gmrHnqROSqauKos21-VxRgj,,,
1878-79,http://link.nypl.org/XWs4Stg4Q-GiYFPt-parygJ,http://link.nypl.org/XWs4Stg4Q-GiYFPt-parygJ,,,
1878-79,http://link.nypl.org/R-E7Q6uLTnC_NOIkBC9iogh,http://link.nypl.org/dCogpEBZT7aBDEApbxP9IQe,,,
1878-79,http://link.nypl.org/HzVWK43iQVWsZWVD8yDdGQN,http://link.nypl.org/otKs9WKSTlyJJjKHHrV2vQK,,,
1878-79,http://link.nypl.org/XBAEtMMaRbS-XTm0ArTKWQE,http://link.nypl.org/h-7EXTNgSYeIOgdcwnYFpA2,,,
1878-79,http://link.nypl.org/O6iy1mZQQC2FAMNqDqsLQAD,http://link.nypl.org/piUG25GzSSahqYA7KYe9vwV,,,
1878-79,http://link.nypl.org/EoxfeWfIQbeWn5fuJe7VWAd,http://link.nypl.org/IdAI4OqmSr-ZGkcmdEQS6Qf,,,
1878-79,http://link.nypl.org/-q1kUt5NQPeLRJAkOysDpgQ,http://link.nypl.org/_FQU7emHTgWMz4Xxn53vmgd,,,
1878-79,http://link.nypl.org/_1GhcvEQS_eFdBM8c-TyPwQ,http://link.nypl.org/dWbqOvOrQsuCwRryQweZzAE,,,
1878-79,http://link.nypl.org/hpi6iz05QMuvkkhe_2ZftAW,http://link.nypl.org/uqTI3JljR5-alvlO-Vhn8AW,,,
1878-79,http://link.nypl.org/g4yFIShgRxi-iozeXxd6_wE,http://link.nypl.org/paxPCMi7QVqUOpHJTVaVLAP,,,
1878-79,http://link.nypl.org/ijLD7qRsRG-VF4vRQWXWXgp,http://link.nypl.org/d2_EA98HT5qTnhftroGWegj,,,
1878-79,http://link.nypl.org/YQpaEIhgQJKDPIqDDySHLQB,http://link.nypl.org/9Hp7f8gDSBKfcRozKwM0HgG,,,
1878-79,http://link.nypl.org/DivhxjoMSbeUxH1A0V6udg5,http://link.nypl.org/mkihKJFORd247wnI0Dj1LgW,,,
1878-79,http://link.nypl.org/3Gd5TaJUStuZSdXDMChnoQ3,http://link.nypl.org/hThAPjaTQvajDJgiBiB-EwP,,,
1879-80,http://link.nypl.org/L38hmP0FSxWxrwtWr3LlrgW,http://link.nypl.org/5XDCsun0REOpQUVQkkShGQq,,,
1879-80,http://link.nypl.org/WrYgiUiUSs2BJ_E3WcbYOwA,http://link.nypl.org/2yIaJb_PRG6VP6bchV86GwS,,,
1879-80,http://link.nypl.org/TtNjurtKSFu4VIjdSAES-gC,http://link.nypl.org/vsKq0yDbRlez4vs0UW7_fAh,,,
1879-80,http://link.nypl.org/WcrzhCFnRW-hRudhwiO3FwD,http://link.nypl.org/jim0fgGfQOuU1HqEgpNrOgI,,,
